Source	OrgProfID	Lat	Long	SoilClass	HzDeIn	HzDeFn	TotFe2O3
RADAM_VOL_1	1	-8.1167	-42.9333	Latossolo_Vermelho_Amarelo_Textura_média	62	105	
RADAM_VOL_1	1	-8.1167	-42.9333	Latossolo_Vermelho_Amarelo_Textura_média	0	22	
RADAM_VOL_1	2	-9.0667	-42.6333	Latossolo_Vermelho_Eutrófico_Textura_média	38	85	
RADAM_VOL_1	2	-9.0667	-42.6333	Latossolo_Vermelho_Eutrófico_Textura_média	0	15	
RADAM_VOL_1	3	-8.35	-42.2333	Podzólico_Vermelho_Equivalente_Eutrófico_Textura_média	54	86	
RADAM_VOL_1	3	-8.35	-42.2333	Podzólico_Vermelho_Equivalente_Eutrófico_Textura_média	0	8	
RADAM_VOL_1	4	-8.7667	-40.8667	Podzólico_Vermelho_Equivalente_Eutrófico	50	73	
RADAM_VOL_1	4	-8.7667	-40.8667	Podzólico_Vermelho_Equivalente_Eutrófico	0	15	
RADAM_VOL_1	5	-8.1333	-41.1333	Solo_Bruno_Não_Cálcico_Vértico	0	18	
RADAM_VOL_1	5	-8.1333	-41.1333	Solo_Bruno_Não_Cálcico_Vértico	58	60	
RADAM_VOL_1	6	-7.7667	-43.1333	Concrecionário_Laterífico	62	155	
RADAM_VOL_1	6	-7.7667	-43.1333	Concrecionário_Laterífico	0	18	
RADAM_VOL_1	7	-8.2667	-42.2	Areias_Quartzosas	0	10	
RADAM_VOL_1	8	-6.1333	-42.1333	Brunizém_Avermelhado	0	16	
RADAM_VOL_1	8	-6.1333	-42.1333	Brunizém_Avermelhado	42	54	
RADAM_VOL_1	9	-7.6	-43.0167	Litólico_eutrófico	0	10	
RADAM_VOL_1	10	-8.25	-42.8833	Podzólico_Vermelho_Amarelo_Raso	42	60	
RADAM_VOL_1	10	-8.25	-42.8833	Podzólico_Vermelho_Amarelo_Raso	0	10	
RADAM_VOL_1	11	-9.65	-42.15	Regossolo_Eutrófico	60	120	
RADAM_VOL_1	11	-9.65	-42.15	Regossolo_Eutrófico	0	6	
RADAM_VOL_2	1	-4.3167	-46.55	Latossolo_Amarelo_Textura_argilosa	80	130	
RADAM_VOL_2	1	-4.3167	-46.55	Latossolo_Amarelo_Textura_argilosa	0	20	
RADAM_VOL_2	2	-4.6333	-47.4833	Latossolo_Amarelo_Textura_muito_argilosa	50	100	
RADAM_VOL_2	2	-4.6333	-47.4833	Latossolo_Amarelo_Textura_muito_argilosa	0	20	
RADAM_VOL_2	3	-6.1333	-41.3833	Latossolo_Vermelho_Amarelo_Textura_média	63	145	
RADAM_VOL_2	3	-6.1333	-41.3833	Latossolo_Vermelho_Amarelo_Textura_média	0	11	
RADAM_VOL_2	4	-5.7833	-44.3333	Latossolo_Vermelho_Amarelo_	60	110	
RADAM_VOL_2	4	-5.7833	-44.3333	Latossolo_Vermelho_Amarelo_	0	20	
RADAM_VOL_2	5	-5.5333	-40.8333	Latossolo_Vermelho_Escuro_Eutrófico_Textura_média	60	148	
RADAM_VOL_2	5	-5.5333	-40.8333	Latossolo_Vermelho_Escuro_Eutrófico_Textura_média	0	10	
RADAM_VOL_2	6	-6.6	-44.0833	Latossolo_Vermelho_Escuro_Eutrófico_Textura_média	60	100	
RADAM_VOL_2	6	-6.6	-44.0833	Latossolo_Vermelho_Escuro_Eutrófico_Textura_média	0	25	
RADAM_VOL_2	7	-4.2833	-44.5833	Podzólico_Vermelho_Amarelo_Equivalente_Eutrófico_Textura_baixa	35	50	
RADAM_VOL_2	7	-4.2833	-44.5833	Podzólico_Vermelho_Amarelo_Equivalente_Eutrófico_Textura_baixa	0	10	
RADAM_VOL_2	8	-6.2833	-41.2667	Podzólico_Vermelho_Amarelo	64	117	
RADAM_VOL_2	8	-6.2833	-41.2667	Podzólico_Vermelho_Amarelo	0	4	
RADAM_VOL_2	9	-5.1833	-40.5833	Podzólico_Vermelho_Amarelo_Equivalente_Eutrófico	62	82	
RADAM_VOL_2	9	-5.1833	-40.5833	Podzólico_Vermelho_Amarelo_Equivalente_Eutrófico	0	4	
RADAM_VOL_2	10	-7.9	-40.6667	Bruno_não_cálcico_Vértico	0	18	
RADAM_VOL_2	10	-7.9	-40.6667	Bruno_não_cálcico_Vértico	58	60	
RADAM_VOL_2	11	-7.8333	-43.1667	Concrecionário_Laterítico	62	155	
RADAM_VOL_2	11	-7.8333	-43.1667	Concrecionário_Laterítico	0	18	
RADAM_VOL_2	12	-6.9833	-42.5333	Brunizem_Avermelhado	52	95	
RADAM_VOL_2	12	-6.9833	-42.5333	Brunizem_Avermelhado	0	10	
RADAM_VOL_2	13	-8.2667	-49.3667	Terra_Roxa_Estruturada	0	17	
RADAM_VOL_2	13	-8.2667	-49.3667	Terra_Roxa_Estruturada	35	78	
RADAM_VOL_2	14	-6.9833	-42.0667	Areia_Quartzosa	0	13	
RADAM_VOL_2	14	-6.9833	-42.0667	Areia_Quartzosa	40	90	
RADAM_VOL_2	15	-4.9333	-43.2167	Areia_Quartzosa	50	70	
RADAM_VOL_2	15	-4.9333	-43.2167	Areia_Quartzosa	0	20	
RADAM_VOL_2	16	-7.5667	-43.0333	Litólico_Eutrófico	19	50	
RADAM_VOL_2	16	-7.5667	-43.0333	Litólico_Eutrófico	0	10	
RADAM_VOL_2	17	-7.3833	-42.1333	Latossolo_Vermelho_Amarelo_Textura_média	68	150	
RADAM_VOL_2	17	-7.3833	-42.1333	Latossolo_Vermelho_Amarelo_Textura_média	0	17	
RADAM_VOL_2	18	-7.4	-47.0833	Latossolo_Vermelho_Amarelo_Textura_média	52	110	
RADAM_VOL_2	18	-7.4	-47.0833	Latossolo_Vermelho_Amarelo_Textura_média	0	12	
RADAM_VOL_2	19	-5.7	-43.6667	Latossolo_Vermelho_Amarelo_Textura_média	50	90	
RADAM_VOL_2	19	-5.7	-43.6667	Latossolo_Vermelho_Amarelo_Textura_média	0	15	
RADAM_VOL_2	20	-5.8333	-41.3667	Latossolo_Vermelho_Amarelo_Textura_média	70	94	
RADAM_VOL_2	20	-5.8333	-41.3667	Latossolo_Vermelho_Amarelo_Textura_média	0	10	
RADAM_VOL_2	21	-7.0333	-41.2333	Latossolo_Vermelho_Amarelo_Textura_média	26	92	
RADAM_VOL_2	21	-7.0333	-41.2333	Latossolo_Vermelho_Amarelo_Textura_média	0	8	
RADAM_VOL_2	22	-4.6833	-43.1333	Latossolo_Vermelho_Amarelo_Textura_média	60	90	
RADAM_VOL_2	22	-4.6833	-43.1333	Latossolo_Vermelho_Amarelo_Textura_média	0	20	
RADAM_VOL_2	23	-7.3167	-45.95	Latossolo_Vermelho_Amarelo_Textura_média	80	110	
RADAM_VOL_2	23	-7.3167	-45.95	Latossolo_Vermelho_Amarelo_Textura_média	0	20	
RADAM_VOL_2	24	-6.1333	-40.6	Podzólico_Vermelho_Amarelo_Equivalente_Eutrófico	0	20	
RADAM_VOL_2	24	-6.1333	-40.6	Podzólico_Vermelho_Amarelo_Equivalente_Eutrófico	50	70	
RADAM_VOL_2	25	-7.35	-47.3833	Podzólico_Vermelho_Amarelo	65	80	
RADAM_VOL_2	25	-7.35	-47.3833	Podzólico_Vermelho_Amarelo	0	8	
RADAM_VOL_2	26	-6.15	-42.15	Brunizem_Avermelhado	0	16	
